alg,month,res,dd,sharp,day_ret,actions,total_commission
a2c,0,0.02215412215387702,-0.017458129634559998,3.09776351609773,"         date  daily_return
0  2023-06-01      0.000000
1  2023-06-02      0.001607
2  2023-06-05     -0.002689
3  2023-06-06      0.006640
4  2023-06-07     -0.002397
5  2023-06-08     -0.000357
6  2023-06-09      0.002155
7  2023-06-13      0.015504
8  2023-06-14     -0.001033
9  2023-06-15      0.004875
10 2023-06-16     -0.001886
11 2023-06-19      0.004348
12 2023-06-20     -0.004542
13 2023-06-21      0.001818
14 2023-06-22     -0.004496
15 2023-06-23     -0.010317
16 2023-06-26      0.003730
17 2023-06-27      0.008524
18 2023-06-28     -0.003491
19 2023-06-29      0.002815
20 2023-06-30      0.001407","         date                                            actions
0  2023-06-01                        [0, 0, 0, 0, 0, 0, 0, 0, 0]
1  2023-06-02  [0.15138689, 0.15138689, 0.15138689, 0.1513868...
2  2023-06-05  [0.15138468, 0.15138468, 0.15138468, 0.1513846...
3  2023-06-06  [0.15138645, 0.15138645, 0.15138645, 0.1513864...
4  2023-06-07  [0.15138589, 0.15138589, 0.15138589, 0.1513858...
5  2023-06-08  [0.15138583, 0.15138583, 0.15138583, 0.1513858...
6  2023-06-09  [0.15138541, 0.15138541, 0.15138541, 0.1513854...
7  2023-06-13  [0.15138532, 0.15138532, 0.15138532, 0.1513853...
8  2023-06-14  [0.15138291, 0.15138291, 0.15138291, 0.1513829...
9  2023-06-15  [0.15138271, 0.15138271, 0.15138271, 0.1513827...
10 2023-06-16  [0.15138143, 0.15138143, 0.15138143, 0.1513814...
11 2023-06-19  [0.15138121, 0.15138121, 0.15138121, 0.1513812...
12 2023-06-20  [0.15138032, 0.15138032, 0.15138032, 0.1513803...
13 2023-06-21  [0.15138102, 0.15138102, 0.15138102, 0.1513810...
14 2023-06-22  [0.1513809, 0.1513809, 0.1513809, 0.1513809, 0...
15 2023-06-23  [0.15138204, 0.15138204, 0.15138204, 0.1513820...
16 2023-06-26  [0.15138626, 0.15138626, 0.15138626, 0.1513862...
17 2023-06-27  [0.15138613, 0.15138613, 0.15138613, 0.1513861...
18 2023-06-28  [0.15138593, 0.15138593, 0.15138593, 0.1513859...
19 2023-06-29  [0.15138839, 0.15138839, 0.15138839, 0.1513883...
20 2023-06-30  [0.15138927, 0.15138927, 0.15138927, 0.1513892...",0
a2c,1,0.04606747360320562,-0.009065462292508625,9.850282662303087,"         date  daily_return
0  2023-07-03      0.000000
1  2023-07-04     -0.001739
2  2023-07-05      0.003198
3  2023-07-06      0.003875
4  2023-07-07      0.005064
5  2023-07-10      0.002829
6  2023-07-11      0.005905
7  2023-07-12      0.007575
8  2023-07-13     -0.002656
9  2023-07-14      0.004043
10 2023-07-17      0.004037
11 2023-07-18      0.003318
12 2023-07-19     -0.002530
13 2023-07-20     -0.006552
14 2023-07-21      0.005654
15 2023-07-24      0.000004
16 2023-07-25      0.002074
17 2023-07-26      0.000261
18 2023-07-27      0.003595
19 2023-07-28      0.001591
20 2023-07-31      0.005661","         date                                            actions
0  2023-07-03                        [0, 0, 0, 0, 0, 0, 0, 0, 0]
1  2023-07-04  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
2  2023-07-05  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
3  2023-07-06  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
4  2023-07-07  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
5  2023-07-10  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
6  2023-07-11  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
7  2023-07-12  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
8  2023-07-13  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
9  2023-07-14  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
10 2023-07-17  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
11 2023-07-18  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
12 2023-07-19  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
13 2023-07-20  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
14 2023-07-21  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
15 2023-07-24  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
16 2023-07-25  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
17 2023-07-26  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
18 2023-07-27  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
19 2023-07-28  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...
20 2023-07-31  [0.16666667, 0.0, 0.16666667, 0.16666667, 0.16...",0
a2c,2,0.03457607593800005,-0.025740674780577903,3.1145516909590722,"         date  daily_return
0  2023-08-01      0.000000
1  2023-08-02      0.003765
2  2023-08-03      0.009492
3  2023-08-04     -0.009203
4  2023-08-07     -0.000365
5  2023-08-08      0.001522
6  2023-08-09      0.001585
7  2023-08-10      0.008665
8  2023-08-11      0.008789
9  2023-08-14     -0.015391
10 2023-08-15      0.000365
11 2023-08-16     -0.010873
12 2023-08-17      0.006366
13 2023-08-18      0.010227
14 2023-08-21      0.001141
15 2023-08-22      0.010102
16 2023-08-23     -0.015095
17 2023-08-24      0.010322
18 2023-08-25      0.000337
19 2023-08-28      0.006841
20 2023-08-29      0.004138
21 2023-08-30      0.001449
22 2023-08-31      0.000489","         date                                            actions
0  2023-08-01                        [0, 0, 0, 0, 0, 0, 0, 0, 0]
1  2023-08-02  [0.14844663, 0.14844663, 0.109320186, 0.0, 0.1...
2  2023-08-03  [0.14844674, 0.14844674, 0.109319545, 0.0, 0.1...
3  2023-08-04  [0.14844628, 0.14844628, 0.10932235, 0.0, 0.14...
4  2023-08-07  [0.14844728, 0.14844728, 0.1093164, 0.0, 0.148...
5  2023-08-08  [0.14844757, 0.14844757, 0.109314576, 0.0, 0.1...
6  2023-08-09  [0.14844769, 0.14844769, 0.10931385, 0.0, 0.14...
7  2023-08-10  [0.14844798, 0.14844798, 0.10931213, 0.0, 0.14...
8  2023-08-11  [0.14844756, 0.14844756, 0.10931467, 0.0, 0.14...
9  2023-08-14  [0.14844805, 0.14844805, 0.10931172, 0.0, 0.14...
10 2023-08-15  [0.14845046, 0.14845046, 0.10929719, 0.0, 0.14...
11 2023-08-16  [0.14845066, 0.14845066, 0.109296024, 0.0, 0.1...
12 2023-08-17  [0.14845341, 0.14845341, 0.10927953, 0.0, 0.14...
13 2023-08-18  [0.1484526, 0.1484526, 0.10928441, 0.0, 0.1484...
14 2023-08-21  [0.14845113, 0.14845113, 0.109293155, 0.0, 0.1...
15 2023-08-22  [0.14845246, 0.14845246, 0.10928521, 0.0, 0.14...
16 2023-08-23  [0.1484513, 0.1484513, 0.10929219, 0.0, 0.1484...
17 2023-08-24  [0.14845398, 0.14845398, 0.10927613, 0.0, 0.14...
18 2023-08-25  [0.14845257, 0.14845257, 0.10928462, 0.0, 0.14...
19 2023-08-28  [0.14845188, 0.14845188, 0.10928868, 0.0, 0.14...
20 2023-08-29  [0.14844999, 0.14844999, 0.10930002, 0.0, 0.14...
21 2023-08-30  [0.14845031, 0.14845031, 0.109298095, 0.0, 0.1...
22 2023-08-31  [0.14845061, 0.14845061, 0.10929629, 0.0, 0.14...",0
a2c,3,-0.011868483593506785,-0.049701990593643275,-1.189577775049533,"         date  daily_return
0  2023-09-01      0.000000
1  2023-09-04      0.005483
2  2023-09-05     -0.000427
3  2023-09-06     -0.003306
4  2023-09-07     -0.010129
5  2023-09-08     -0.007779
6  2023-09-11     -0.005483
7  2023-09-12      0.012952
8  2023-09-13     -0.007571
9  2023-09-14     -0.000394
10 2023-09-15      0.004548
11 2023-09-18     -0.005493
12 2023-09-19     -0.012305
13 2023-09-20     -0.002587
14 2023-09-21     -0.012606
15 2023-09-22      0.007778
16 2023-09-25      0.001054
17 2023-09-26      0.003473
18 2023-09-27      0.005667
19 2023-09-28      0.007178
20 2023-09-29      0.008535","         date                                            actions
0  2023-09-01                        [0, 0, 0, 0, 0, 0, 0, 0, 0]
1  2023-09-04  [0.15068056, 0.0, 0.15068056, 0.15068056, 0.0,...
2  2023-09-05  [0.15068057, 0.0, 0.15068057, 0.15068057, 0.0,...
3  2023-09-06  [0.15068056, 0.0, 0.15068056, 0.15068056, 0.0,...
4  2023-09-07  [0.15068051, 0.0, 0.15068051, 0.15068051, 0.0,...
5  2023-09-08  [0.15068083, 0.0, 0.15068083, 0.15068083, 0.0,...
6  2023-09-11  [0.15068097, 0.0, 0.15068097, 0.15068097, 0.0,...
7  2023-09-12  [0.15068114, 0.0, 0.15068114, 0.15068114, 0.0,...
8  2023-09-13  [0.15068106, 0.0, 0.15068106, 0.15068106, 0.0,...
9  2023-09-14  [0.15068105, 0.0, 0.15068105, 0.15068105, 0.0,...
10 2023-09-15  [0.15068078, 0.0, 0.15068078, 0.15068078, 0.0,...
11 2023-09-18  [0.1506807, 0.0, 0.1506807, 0.1506807, 0.0, 0....
12 2023-09-19  [0.15068074, 0.0, 0.15068074, 0.15068074, 0.0,...
13 2023-09-20  [0.15068111, 0.0, 0.15068111, 0.15068111, 0.0,...
14 2023-09-21  [0.15068105, 0.0, 0.15068105, 0.15068105, 0.0,...
15 2023-09-22  [0.15068129, 0.0, 0.15068129, 0.15068129, 0.0,...
16 2023-09-25  [0.15068118, 0.0, 0.15068118, 0.15068118, 0.0,...
17 2023-09-26  [0.15068096, 0.0, 0.15068096, 0.15068096, 0.0,...
18 2023-09-27  [0.1506811, 0.0, 0.1506811, 0.1506811, 0.0, 0....
19 2023-09-28  [0.1506809, 0.0, 0.1506809, 0.1506809, 0.0, 0....
20 2023-09-29  [0.15068084, 0.0, 0.15068084, 0.15068084, 0.0,...",0
a2c,4,0.014743559030000242,-0.017052036133110866,1.891857337299091,"         date  daily_return
0  2023-10-02      0.000000
1  2023-10-03      0.001006
2  2023-10-04     -0.003786
3  2023-10-05      0.004429
4  2023-10-06      0.003683
5  2023-10-09      0.002951
6  2023-10-10     -0.000523
7  2023-10-11     -0.010596
8  2023-10-12      0.009019
9  2023-10-13      0.006737
10 2023-10-16      0.008626
11 2023-10-17      0.002018
12 2023-10-18      0.003488
13 2023-10-19      0.000895
14 2023-10-20      0.000512
15 2023-10-23     -0.003614
16 2023-10-24      0.001985
17 2023-10-25      0.005222
18 2023-10-26     -0.010997
19 2023-10-27      0.006646
20 2023-10-30     -0.003382
21 2023-10-31     -0.009333","         date                                            actions
0  2023-10-02                        [0, 0, 0, 0, 0, 0, 0, 0, 0]
1  2023-10-03  [0.1549456, 0.1549456, 0.1549456, 0.0, 0.15494...
2  2023-10-04  [0.15494488, 0.15494488, 0.15494488, 0.0, 0.15...
3  2023-10-05  [0.15494502, 0.15494502, 0.15494502, 0.0, 0.15...
4  2023-10-06  [0.1549447, 0.1549447, 0.1549447, 0.0, 0.15494...
5  2023-10-09  [0.15494432, 0.15494432, 0.15494432, 0.0, 0.15...
6  2023-10-10  [0.15494417, 0.15494417, 0.15494417, 0.0, 0.15...
7  2023-10-11  [0.15494421, 0.15494421, 0.15494421, 0.0, 0.15...
8  2023-10-12  [0.15494487, 0.15494487, 0.15494487, 0.0, 0.15...
9  2023-10-13  [0.15494421, 0.15494421, 0.15494421, 0.0, 0.15...
10 2023-10-16  [0.15494406, 0.15494406, 0.15494406, 0.0, 0.15...
11 2023-10-17  [0.15494351, 0.15494351, 0.15494351, 0.0, 0.15...
12 2023-10-18  [0.15494333, 0.15494333, 0.15494333, 0.0, 0.15...
13 2023-10-19  [0.15494347, 0.15494347, 0.15494347, 0.0, 0.15...
14 2023-10-20  [0.15494297, 0.15494297, 0.15494297, 0.0, 0.15...
15 2023-10-23  [0.15494275, 0.15494275, 0.15494275, 0.0, 0.15...
16 2023-10-24  [0.15494259, 0.15494259, 0.15494259, 0.0, 0.15...
17 2023-10-25  [0.15494253, 0.15494253, 0.15494253, 0.0, 0.15...
18 2023-10-26  [0.15494224, 0.15494224, 0.15494224, 0.0, 0.15...
19 2023-10-27  [0.15494293, 0.15494293, 0.15494293, 0.0, 0.15...
20 2023-10-30  [0.1549427, 0.1549427, 0.1549427, 0.0, 0.15494...
21 2023-10-31  [0.1549428, 0.1549428, 0.1549428, 0.0, 0.15494...",0
a2c,5,-0.02218658485332925,-0.022186584853329236,-4.37876684127245,"         date  daily_return
0  2023-11-01      0.000000
1  2023-11-02     -0.005081
2  2023-11-03     -0.002270
3  2023-11-06      0.006876
4  2023-11-07     -0.002140
5  2023-11-08      0.000559
6  2023-11-09     -0.000445
7  2023-11-10     -0.000025
8  2023-11-13      0.000698
9  2023-11-14     -0.008289
10 2023-11-15      0.001228
11 2023-11-16     -0.008881
12 2023-11-17      0.005232
13 2023-11-20     -0.000571
14 2023-11-21      0.001835
15 2023-11-22      0.000531
16 2023-11-23     -0.003938
17 2023-11-24     -0.000852
18 2023-11-27     -0.003610
19 2023-11-28      0.001067
20 2023-11-29     -0.003153
21 2023-11-30     -0.001055","         date                                            actions
0  2023-11-01                        [0, 0, 0, 0, 0, 0, 0, 0, 0]
1  2023-11-02  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
2  2023-11-03  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
3  2023-11-06  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
4  2023-11-07  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
5  2023-11-08  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
6  2023-11-09  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
7  2023-11-10  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
8  2023-11-13  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
9  2023-11-14  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
10 2023-11-15  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
11 2023-11-16  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
12 2023-11-17  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
13 2023-11-20  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
14 2023-11-21  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
15 2023-11-22  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
16 2023-11-23  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
17 2023-11-24  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
18 2023-11-27  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
19 2023-11-28  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
20 2023-11-29  [0.14285715, 0.14285715, 0.14285715, 0.1428571...
21 2023-11-30  [0.14285715, 0.14285715, 0.14285715, 0.1428571...",0
a2c,6,0.022752639629999738,-0.02686838304044671,2.142536384176256,"         date  daily_return
0  2023-12-01      0.000000
1  2023-12-04     -0.005453
2  2023-12-05      0.009183
3  2023-12-06     -0.009058
4  2023-12-07     -0.000478
5  2023-12-08      0.003025
6  2023-12-11     -0.009728
7  2023-12-12     -0.000358
8  2023-12-13      0.004068
9  2023-12-14     -0.014498
10 2023-12-15      0.004320
11 2023-12-18      0.016853
12 2023-12-19      0.004141
13 2023-12-20      0.000273
14 2023-12-21     -0.003896
15 2023-12-22      0.003427
16 2023-12-25     -0.000401
17 2023-12-26      0.022097
18 2023-12-27     -0.000152
19 2023-12-28     -0.000545
20 2023-12-29      0.000356","         date                                            actions
0  2023-12-01                        [0, 0, 0, 0, 0, 0, 0, 0, 0]
1  2023-12-04  [0.23088284, 0.23088284, 0.0, 0.0, 0.23088284,...
2  2023-12-05  [0.23088388, 0.23088388, 0.0, 0.0, 0.23088388,...
3  2023-12-06  [0.23088124, 0.23088124, 0.0, 0.0, 0.23088124,...
4  2023-12-07  [0.23088312, 0.23088312, 0.0, 0.0, 0.23088312,...
5  2023-12-08  [0.23088272, 0.23088272, 0.0, 0.0, 0.23088272,...
6  2023-12-11  [0.23088259, 0.23088259, 0.0, 0.0, 0.23088259,...
7  2023-12-12  [0.2308846, 0.2308846, 0.0, 0.0, 0.2308846, 0....
8  2023-12-13  [0.23088413, 0.23088413, 0.0, 0.0, 0.23088413,...
9  2023-12-14  [0.23088413, 0.23088413, 0.0, 0.0, 0.23088413,...
10 2023-12-15  [0.23088565, 0.23088565, 0.0, 0.0, 0.23088565,...
11 2023-12-18  [0.23088312, 0.23088312, 0.0, 0.0, 0.23088312,...
12 2023-12-19  [0.23088104, 0.23088104, 0.0, 0.0, 0.23088104,...
13 2023-12-20  [0.23088017, 0.23088017, 0.0, 0.0, 0.23088017,...
14 2023-12-21  [0.23088017, 0.23088017, 0.0, 0.0, 0.23088017,...
15 2023-12-22  [0.23088056, 0.23088056, 0.0, 0.0, 0.23088056,...
16 2023-12-25  [0.23087908, 0.23087908, 0.0, 0.0, 0.23087908,...
17 2023-12-26  [0.23087847, 0.23087847, 0.0, 0.0, 0.23087847,...
18 2023-12-27  [0.23087727, 0.23087727, 0.0, 0.0, 0.23087727,...
19 2023-12-28  [0.2308775, 0.2308775, 0.0, 0.0, 0.2308775, 0....
20 2023-12-29  [0.23087762, 0.23087762, 0.0, 0.0, 0.23087762,...",0
a2c,7,0.01364819932726058,-0.010545212482835582,3.8734165269397196,"         date  daily_return
0  2024-01-03      0.000000
1  2024-01-04     -0.000737
2  2024-01-05      0.000813
3  2024-01-08      0.006441
4  2024-01-09     -0.000346
5  2024-01-10      0.002831
6  2024-01-11      0.004311
7  2024-01-12      0.005154
8  2024-01-15     -0.001174
9  2024-01-16     -0.002240
10 2024-01-17     -0.000972
11 2024-01-18     -0.004436
12 2024-01-19     -0.001638
13 2024-01-22      0.003200
14 2024-01-23     -0.000534
15 2024-01-24     -0.000651
16 2024-01-25     -0.000889
17 2024-01-26     -0.001245
18 2024-01-29      0.002430
19 2024-01-30      0.001761
20 2024-01-31      0.001552","         date                                            actions
0  2024-01-03                        [0, 0, 0, 0, 0, 0, 0, 0, 0]
1  2024-01-04  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
2  2024-01-05  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
3  2024-01-08  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
4  2024-01-09  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
5  2024-01-10  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
6  2024-01-11  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
7  2024-01-12  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
8  2024-01-15  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
9  2024-01-16  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
10 2024-01-17  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
11 2024-01-18  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
12 2024-01-19  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
13 2024-01-22  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
14 2024-01-23  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
15 2024-01-24  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
16 2024-01-25  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
17 2024-01-26  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
18 2024-01-29  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
19 2024-01-30  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...
20 2024-01-31  [0.125, 0.0, 0.125, 0.125, 0.125, 0.125, 0.125...",0
a2c,8,-0.008500605511520543,-0.027062538664680804,-1.831631971498233,"         date  daily_return
0  2024-02-01      0.000000
1  2024-02-02     -0.000785
2  2024-02-05      0.005637
3  2024-02-06     -0.003144
4  2024-02-07     -0.000957
5  2024-02-08     -0.006824
6  2024-02-09      0.000445
7  2024-02-12     -0.002617
8  2024-02-13      0.002895
9  2024-02-14     -0.002036
10 2024-02-15     -0.000535
11 2024-02-16     -0.003279
12 2024-02-19     -0.003018
13 2024-02-20     -0.005131
14 2024-02-21     -0.003167
15 2024-02-22      0.000261
16 2024-02-26      0.005893
17 2024-02-27      0.002021
18 2024-02-28     -0.001128
19 2024-02-29      0.007061","         date                                            actions
0  2024-02-01                        [0, 0, 0, 0, 0, 0, 0, 0, 0]
1  2024-02-02  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
2  2024-02-05  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
3  2024-02-06  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
4  2024-02-07  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
5  2024-02-08  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
6  2024-02-09  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
7  2024-02-12  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
8  2024-02-13  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
9  2024-02-14  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
10 2024-02-15  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
11 2024-02-16  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
12 2024-02-19  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
13 2024-02-20  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
14 2024-02-21  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
15 2024-02-22  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
16 2024-02-26  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
17 2024-02-27  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
18 2024-02-28  [0.16666667, 0.16666667, 0.16666667, 0.1666666...
19 2024-02-29  [0.16666667, 0.16666667, 0.16666667, 0.1666666...",0
ppo,0,0.02799464932317819,-0.012071681727004653,5.165933783747196,"         date  daily_return
0  2023-06-01      0.000000
1  2023-06-02      0.004780
2  2023-06-05     -0.004883
3  2023-06-06      0.003765
4  2023-06-07     -0.000717
5  2023-06-08      0.000720
6  2023-06-09      0.001734
7  2023-06-13      0.010167
8  2023-06-14     -0.000654
9  2023-06-15      0.006001
10 2023-06-16     -0.000556
11 2023-06-19      0.004225
12 2023-06-20     -0.001165
13 2023-06-21     -0.000060
14 2023-06-22     -0.002813
15 2023-06-23     -0.008069
16 2023-06-26      0.004395
17 2023-06-27      0.005907
18 2023-06-28      0.001694
19 2023-06-29      0.003631
20 2023-06-30     -0.000306","         date                                            actions
0  2023-06-01                        [0, 0, 0, 0, 0, 0, 0, 0, 0]
1  2023-06-02  [0.48446155, 0.0, 0.061249085, 0.0, 0.08212487...
2  2023-06-05  [0.4792104, 0.0, 0.07604862, 0.0, 0.06648282, ...
3  2023-06-06  [0.4938939, 0.0, 0.07565461, 0.0, 0.06485758, ...
4  2023-06-07  [0.47924545, 0.0066378815, 0.0641768, 0.0, 0.0...
5  2023-06-08  [0.48751196, 0.0015247664, 0.056646813, 0.0, 0...
6  2023-06-09  [0.47763574, 0.00018747903, 0.043659538, 0.001...
7  2023-06-13  [0.44207215, 0.0572446, 0.058298476, 0.0226779...
8  2023-06-14  [0.43071973, 0.07139735, 0.05691863, 0.0245318...
9  2023-06-15  [0.4344703, 0.068212375, 0.052749638, 0.029797...
10 2023-06-16  [0.43186897, 0.075719796, 0.05258202, 0.029536...
11 2023-06-19  [0.43625322, 0.10466333, 0.05923662, 0.039511,...
12 2023-06-20  [0.4384668, 0.12329609, 0.056602605, 0.0476714...
13 2023-06-21  [0.49466866, 0.10641317, 0.052740782, 0.026766...
14 2023-06-22  [0.48508766, 0.12181499, 0.058592953, 0.032749...
15 2023-06-23  [0.51070344, 0.11657436, 0.063914545, 0.023005...
16 2023-06-26  [0.46210626, 0.10275518, 0.047498956, 0.049477...
17 2023-06-27  [0.44842213, 0.10266413, 0.04389591, 0.0472028...
18 2023-06-28  [0.4354998, 0.103111304, 0.049706217, 0.040231...
19 2023-06-29  [0.32274112, 0.0, 0.0, 0.06857696, 0.0, 0.0805...
20 2023-06-30  [0.34474605, 0.0, 0.0, 0.06578703, 0.0, 0.0341...",0
