<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
MM;D;20160517;000000;100.03013698630137;1
MM;D;20160518;000000;100.06027397260274;1
MM;D;20160519;000000;100.09041095890412;1
MM;D;20160520;000000;100.12054794520549;1
MM;D;20160523;000000;100.2109589041096;1
MM;D;20160524;000000;100.24109589041097;1
MM;D;20160525;000000;100.27123287671235;1
MM;D;20160526;000000;100.30136986301372;1
MM;D;20160527;000000;100.33150684931509;1
MM;D;20160530;000000;100.4219178082192;1
MM;D;20160531;000000;100.45205479452058;1
MM;D;20160601;000000;100.48219178082195;1
MM;D;20160602;000000;100.51232876712332;1
MM;D;20160603;000000;100.5424657534247;1
MM;D;20160606;000000;100.63287671232881;1
MM;D;20160607;000000;100.66301369863018;1
MM;D;20160608;000000;100.69315068493155;1
MM;D;20160609;000000;100.72328767123292;1
MM;D;20160610;000000;100.7534246575343;1
MM;D;20160614;000000;100.86849315068498;1
MM;D;20160615;000000;100.89726027397265;1
MM;D;20160616;000000;100.92602739726031;1
MM;D;20160617;000000;100.95479452054798;1
MM;D;20160620;000000;101.04109589041099;1
MM;D;20160621;000000;101.06986301369865;1
MM;D;20160622;000000;101.09863013698632;1
MM;D;20160623;000000;101.12739726027398;1
MM;D;20160624;000000;101.15616438356165;1
MM;D;20160627;000000;101.24246575342465;1
MM;D;20160628;000000;101.27123287671232;1
MM;D;20160629;000000;101.29999999999998;1
MM;D;20160630;000000;101.32876712328765;1
MM;D;20160701;000000;101.35753424657531;1
MM;D;20160704;000000;101.44383561643832;1
MM;D;20160705;000000;101.47260273972599;1
MM;D;20160706;000000;101.50136986301365;1
MM;D;20160707;000000;101.53013698630132;1
MM;D;20160708;000000;101.55890410958898;1
MM;D;20160711;000000;101.64520547945199;1
MM;D;20160712;000000;101.67397260273965;1
MM;D;20160713;000000;101.70273972602732;1
MM;D;20160714;000000;101.73150684931498;1
MM;D;20160715;000000;101.76027397260265;1
MM;D;20160718;000000;101.84657534246566;1
MM;D;20160719;000000;101.87534246575332;1
MM;D;20160720;000000;101.90410958904098;1
MM;D;20160721;000000;101.93287671232865;1
MM;D;20160728;000000;102.13424657534235;1
MM;D;20160729;000000;102.16301369863001;1
MM;D;20160801;000000;102.24931506849302;1
MM;D;20160802;000000;102.27808219178068;1
MM;D;20160803;000000;102.30684931506835;1
MM;D;20160804;000000;102.33561643835601;1
MM;D;20160805;000000;102.36438356164368;1
MM;D;20160808;000000;102.45068493150669;1
MM;D;20160809;000000;102.47945205479435;1
MM;D;20160810;000000;102.50821917808202;1
MM;D;20160811;000000;102.53698630136968;1
MM;D;20160812;000000;102.56575342465734;1
MM;D;20160815;000000;102.65205479452035;1
MM;D;20160816;000000;102.68082191780802;1
MM;D;20160817;000000;102.70958904109568;1
MM;D;20160819;000000;102.76712328767103;1
MM;D;20160822;000000;102.85342465753403;1
MM;D;20160823;000000;102.8821917808217;1
MM;D;20160824;000000;102.91095890410936;1
MM;D;20160825;000000;102.93972602739703;1
MM;D;20160826;000000;102.9684931506847;1
MM;D;20160829;000000;103.0547945205477;1
MM;D;20160830;000000;103.08356164383537;1
MM;D;20160831;000000;103.11232876712303;1
MM;D;20160901;000000;103.1410958904107;1
MM;D;20160902;000000;103.16986301369836;1
MM;D;20160905;000000;103.25616438356137;1
MM;D;20160906;000000;103.28493150684903;1
MM;D;20160907;000000;103.3136986301367;1
MM;D;20160908;000000;103.34246575342436;1
MM;D;20160909;000000;103.37123287671203;1
MM;D;20160912;000000;103.45753424657504;1
MM;D;20160913;000000;103.4863013698627;1
MM;D;20160914;000000;103.51506849315037;1
MM;D;20160915;000000;103.54383561643803;1
MM;D;20160916;000000;103.5726027397257;1
MM;D;20160919;000000;103.65479452054761;1
MM;D;20160920;000000;103.68219178082158;1
MM;D;20160921;000000;103.70958904109555;1
MM;D;20160922;000000;103.73698630136953;1
MM;D;20160923;000000;103.7643835616435;1
MM;D;20160926;000000;103.84657534246541;1
MM;D;20160927;000000;103.87397260273939;1
MM;D;20160928;000000;103.90136986301336;1
MM;D;20160929;000000;103.92876712328733;1
MM;D;20160930;000000;103.9561643835613;1
MM;D;20161003;000000;104.03835616438322;1
MM;D;20161004;000000;104.06575342465719;1
MM;D;20161005;000000;104.09315068493116;1
MM;D;20161006;000000;104.12054794520513;1
MM;D;20161007;000000;104.1479452054791;1
MM;D;20161010;000000;104.23013698630102;1
MM;D;20161011;000000;104.25753424657499;1
MM;D;20161012;000000;104.28493150684896;1
MM;D;20161013;000000;104.31232876712293;1
MM;D;20161014;000000;104.3397260273969;1
MM;D;20161017;000000;104.42191780821882;1
MM;D;20161018;000000;104.4493150684928;1
MM;D;20161019;000000;104.47671232876677;1
MM;D;20161020;000000;104.50410958904074;1
MM;D;20161021;000000;104.53150684931471;1
MM;D;20161024;000000;104.61369863013662;1
MM;D;20161025;000000;104.6410958904106;1
MM;D;20161026;000000;104.66849315068457;1
MM;D;20161027;000000;104.69589041095854;1
MM;D;20161028;000000;104.72328767123251;1
MM;D;20161031;000000;104.80547945205443;1
MM;D;20161101;000000;104.8328767123284;1
MM;D;20161102;000000;104.86027397260237;1
MM;D;20161103;000000;104.88767123287634;1
MM;D;20161107;000000;104.99726027397223;1
MM;D;20161108;000000;105.0246575342462;1
MM;D;20161109;000000;105.05205479452017;1
MM;D;20161110;000000;105.07945205479415;1
MM;D;20161111;000000;105.10684931506812;1
MM;D;20161114;000000;105.18904109589003;1
MM;D;20161115;000000;105.216438356164;1
MM;D;20161116;000000;105.24383561643798;1
MM;D;20161117;000000;105.27123287671195;1
MM;D;20161118;000000;105.29863013698592;1
MM;D;20161121;000000;105.38082191780784;1
MM;D;20161122;000000;105.40821917808181;1
MM;D;20161123;000000;105.43561643835578;1
MM;D;20161124;000000;105.46301369862975;1
MM;D;20161125;000000;105.49041095890372;1
MM;D;20161128;000000;105.57260273972564;1
MM;D;20161129;000000;105.59999999999961;1
MM;D;20161130;000000;105.62739726027358;1
MM;D;20161201;000000;105.65479452054755;1
MM;D;20161202;000000;105.68219178082153;1
MM;D;20161205;000000;105.76438356164344;1
MM;D;20161206;000000;105.79178082191741;1
MM;D;20161207;000000;105.81917808219139;1
MM;D;20161208;000000;105.84657534246536;1
MM;D;20161209;000000;105.87397260273933;1
MM;D;20161212;000000;105.95616438356124;1
MM;D;20161213;000000;105.98356164383522;1
MM;D;20161214;000000;106.01095890410919;1
MM;D;20161215;000000;106.03835616438316;1
MM;D;20161216;000000;106.06575342465713;1
MM;D;20161219;000000;106.14794520547905;1
MM;D;20161220;000000;106.17534246575302;1
MM;D;20161221;000000;106.20273972602699;1
MM;D;20161222;000000;106.23013698630096;1
MM;D;20161223;000000;106.25753424657493;1
MM;D;20161227;000000;106.36712328767082;1
MM;D;20161228;000000;106.3945205479448;1
MM;D;20161229;000000;106.42191780821877;1
MM;D;20161230;000000;106.44931506849274;1
MM;D;20170103;000000;106.55890410958862;1
MM;D;20170104;000000;106.5863013698626;1
MM;D;20170105;000000;106.61369863013657;1
MM;D;20170106;000000;106.64109589041054;1
MM;D;20170109;000000;106.72328767123246;1
MM;D;20170110;000000;106.75068493150643;1
MM;D;20170111;000000;106.7780821917804;1
MM;D;20170112;000000;106.80547945205437;1
MM;D;20170113;000000;106.83287671232834;1
MM;D;20170116;000000;106.91506849315026;1
MM;D;20170117;000000;106.94246575342423;1
MM;D;20170118;000000;106.9698630136982;1
MM;D;20170119;000000;106.99726027397217;1
MM;D;20170120;000000;107.02465753424615;1
MM;D;20170123;000000;107.10684931506806;1
MM;D;20170124;000000;107.13424657534203;1
MM;D;20170125;000000;107.161643835616;1
MM;D;20170126;000000;107.18904109588998;1
MM;D;20170127;000000;107.21643835616395;1
MM;D;20170130;000000;107.29863013698586;1
MM;D;20170131;000000;107.32602739725984;1
MM;D;20170201;000000;107.35342465753381;1
MM;D;20170202;000000;107.38082191780778;1
MM;D;20170203;000000;107.40821917808175;1
MM;D;20170206;000000;107.49041095890367;1
MM;D;20170207;000000;107.51780821917764;1
MM;D;20170208;000000;107.54520547945161;1
MM;D;20170209;000000;107.57260273972558;1
MM;D;20170210;000000;107.59999999999955;1
MM;D;20170213;000000;107.68219178082147;1
MM;D;20170214;000000;107.70958904109544;1
MM;D;20170215;000000;107.73698630136941;1
MM;D;20170216;000000;107.76438356164338;1
MM;D;20170217;000000;107.79178082191736;1
MM;D;20170220;000000;107.87397260273927;1
MM;D;20170221;000000;107.90136986301324;1
MM;D;20170222;000000;107.92876712328722;1
MM;D;20170224;000000;107.98356164383516;1
MM;D;20170227;000000;108.06575342465707;1
MM;D;20170228;000000;108.09315068493105;1
MM;D;20170301;000000;108.12054794520502;1
MM;D;20170302;000000;108.14794520547899;1
MM;D;20170303;000000;108.17534246575296;1
MM;D;20170306;000000;108.25753424657488;1
MM;D;20170307;000000;108.28493150684885;1
MM;D;20170309;000000;108.3397260273968;1
MM;D;20170310;000000;108.36712328767076;1
MM;D;20170313;000000;108.44931506849268;1
MM;D;20170314;000000;108.47671232876665;1
MM;D;20170315;000000;108.50410958904062;1
MM;D;20170316;000000;108.5315068493146;1
MM;D;20170317;000000;108.55890410958857;1
MM;D;20170320;000000;108.64109589041048;1
MM;D;20170321;000000;108.66849315068445;1
MM;D;20170322;000000;108.69589041095843;1
MM;D;20170323;000000;108.7232876712324;1
MM;D;20170324;000000;108.75068493150637;1
MM;D;20170327;000000;108.83082191780774;1
MM;D;20170328;000000;108.85753424657486;1
MM;D;20170329;000000;108.88424657534198;1
MM;D;20170330;000000;108.9109589041091;1
MM;D;20170331;000000;108.93767123287621;1
MM;D;20170403;000000;109.01780821917758;1
MM;D;20170404;000000;109.0445205479447;1
MM;D;20170405;000000;109.07123287671182;1
MM;D;20170406;000000;109.09794520547894;1
MM;D;20170407;000000;109.12465753424605;1
MM;D;20170410;000000;109.20479452054742;1
MM;D;20170411;000000;109.23150684931454;1
MM;D;20170412;000000;109.25821917808166;1
MM;D;20170413;000000;109.28493150684878;1
MM;D;20170417;000000;109.39178082191727;1
MM;D;20170418;000000;109.41849315068438;1
MM;D;20170419;000000;109.4452054794515;1
MM;D;20170420;000000;109.47191780821862;1
MM;D;20170421;000000;109.49863013698574;1
MM;D;20170424;000000;109.57876712328711;1
MM;D;20170425;000000;109.60547945205423;1
MM;D;20170426;000000;109.63219178082134;1
MM;D;20170427;000000;109.65890410958846;1
MM;D;20170428;000000;109.68561643835558;1
MM;D;20170502;000000;109.78698630136928;1
MM;D;20170503;000000;109.81232876712271;1
MM;D;20170504;000000;109.83767123287613;1
MM;D;20170505;000000;109.86301369862956;1
MM;D;20170510;000000;109.98972602739669;1
MM;D;20170511;000000;110.01506849315011;1
MM;D;20170512;000000;110.04041095890354;1
MM;D;20170515;000000;110.11643835616381;1
MM;D;20170516;000000;110.14178082191724;1
MM;D;20170517;000000;110.16712328767066;1
MM;D;20170518;000000;110.19246575342409;1
MM;D;20170519;000000;110.21780821917751;1
MM;D;20170522;000000;110.29383561643779;1
MM;D;20170523;000000;110.31917808219121;1
MM;D;20170524;000000;110.34452054794464;1
MM;D;20170525;000000;110.36986301369807;1
MM;D;20170526;000000;110.39520547945149;1
MM;D;20170529;000000;110.47123287671177;1
MM;D;20170530;000000;110.49657534246519;1
MM;D;20170531;000000;110.52191780821862;1
MM;D;20170601;000000;110.54726027397204;1
MM;D;20170602;000000;110.57260273972547;1
MM;D;20170605;000000;110.64863013698574;1
MM;D;20170606;000000;110.67397260273917;1
MM;D;20170607;000000;110.6993150684926;1
MM;D;20170608;000000;110.72465753424602;1
MM;D;20170609;000000;110.74999999999945;1
MM;D;20170613;000000;110.85136986301315;1
MM;D;20170614;000000;110.87671232876657;1
MM;D;20170615;000000;110.90205479452;1
MM;D;20170616;000000;110.92739726027342;1
MM;D;20170619;000000;111.00136986301315;1
MM;D;20170620;000000;111.02602739725972;1
MM;D;20170621;000000;111.0506849315063;1
MM;D;20170622;000000;111.07534246575287;1
MM;D;20170623;000000;111.09999999999944;1
MM;D;20170626;000000;111.17397260273917;1
MM;D;20170627;000000;111.19863013698574;1
MM;D;20170628;000000;111.22328767123231;1
MM;D;20170629;000000;111.24794520547889;1
MM;D;20170630;000000;111.27260273972546;1
MM;D;20170703;000000;111.34657534246519;1
MM;D;20170704;000000;111.37123287671176;1
MM;D;20170705;000000;111.39589041095833;1
MM;D;20170706;000000;111.4205479452049;1
MM;D;20170707;000000;111.44520547945147;1
MM;D;20170710;000000;111.5191780821912;1
MM;D;20170711;000000;111.54383561643778;1
MM;D;20170712;000000;111.56849315068435;1
