date,open,high,low,close,volume,tic
2016-05-17,49.36,49.36,49.36,49.36,155085,BZ
2016-05-17,1272.4,1272.4,1272.4,1272.4,168195,GD
2016-05-17,89.6,89.94,88.28,89.57,11590200,GMKN
2016-05-17,1915.33,1915.33,1876.69,1909.0,31027,IMOEX
2016-05-17,2662.0,2684.0,2606.5,2682.0,1015500,LKOH
2016-05-17,24.465,25.41,24.355,25.06,17638000,MAGN
2016-05-17,259.2,261.0,254.45,259.45,1535440,MTSS
2016-05-17,627.9,634.7,618.9,634.3,893370,NVTK
2016-05-17,323.9,323.95,314.15,322.75,3901920,ROSN
2016-05-17,122.88,123.27,120.6,122.9,72260280,SBER
2016-05-17,33.44,33.625,32.755,33.4,27283900,SNGS
2016-05-17,64.527,64.527,64.527,64.527,440706,USD
2016-05-18,48.54,48.54,48.54,48.54,195401,BZ
2016-05-18,1256.1,1256.1,1256.1,1256.1,217873,GD
2016-05-18,89.29,91.65,88.8,91.4,20251300,GMKN
2016-05-18,1909.0,1921.21,1899.12,1917.24,31035,IMOEX
2016-05-18,2669.0,2706.0,2647.0,2706.0,1030777,LKOH
2016-05-18,25.145,25.24,24.7,24.855,21201300,MAGN
2016-05-18,259.5,262.3,258.8,261.9,2892220,MTSS
2016-05-18,631.0,643.8,628.0,642.7,894390,NVTK
2016-05-18,320.1,329.15,320.0,328.8,3615330,ROSN
2016-05-18,122.49,123.54,121.83,123.5,49648780,SBER
2016-05-18,33.47,34.385,33.23,33.955,24635300,SNGS
2016-05-18,65.961,65.961,65.961,65.961,472654,USD
2016-05-19,48.88,48.88,48.88,48.88,191986,BZ
2016-05-19,1257.7,1257.7,1257.7,1257.7,180140,GD
2016-05-19,90.67,92.45,90.52,92.29,26052700,GMKN
2016-05-19,1917.24,1917.24,1891.52,1891.52,31035,IMOEX
2016-05-19,2687.0,2721.0,2650.0,2702.5,1196996,LKOH
2016-05-19,24.92,25.04,24.605,24.895,14860300,MAGN
2016-05-19,260.55,261.0,251.85,252.6,2654300,MTSS
2016-05-19,637.0,646.0,632.2,644.0,776250,NVTK
2016-05-19,326.0,332.8,324.6,331.8,4247240,ROSN
2016-05-19,121.99,122.17,120.3,120.67,71928330,SBER
2016-05-19,33.895,34.285,33.5,34.02,19911200,SNGS
2016-05-19,66.494,66.494,66.494,66.494,474464,USD
2016-05-20,48.74,48.74,48.74,48.74,150873,BZ
2016-05-20,1252.9,1252.9,1252.9,1252.9,92643,GD
2016-05-20,92.19,93.04,90.84,90.97,17297300,GMKN
2016-05-20,1891.52,1903.58,1882.16,1891.33,31084,IMOEX
2016-05-20,2711.0,2736.5,2683.0,2698.0,1014516,LKOH
2016-05-20,24.95,25.365,24.94,25.2,29920600,MAGN
2016-05-20,254.05,258.4,252.6,258.05,2096670,MTSS
2016-05-20,644.5,654.9,641.2,653.8,1038070,NVTK
2016-05-20,333.0,333.85,322.85,323.0,4470150,ROSN
2016-05-20,121.79,122.47,120.8,121.34,52829240,SBER
2016-05-20,33.925,34.11,33.42,33.42,13164900,SNGS
2016-05-20,66.78,66.78,66.78,66.78,422142,USD
2016-05-23,48.39,48.39,48.39,48.39,113912,BZ
2016-05-23,1243.5,1243.5,1243.5,1243.5,124564,GD
2016-05-23,91.2,91.33,89.8,90.68,11122900,GMKN
2016-05-23,1891.33,1891.33,1861.64,1868.43,30953,IMOEX
2016-05-23,2711.5,2715.5,2646.5,2661.0,856706,LKOH
2016-05-23,25.25,25.29,24.85,25.13,28146000,MAGN
2016-05-23,257.25,258.8,252.85,253.15,1993970,MTSS
2016-05-23,652.2,654.3,645.3,649.0,664290,NVTK
2016-05-23,323.05,324.0,311.55,313.8,6329930,ROSN
2016-05-23,121.3,122.2,120.12,122.0,55584090,SBER
2016-05-23,33.52,33.63,33.24,33.355,6000800,SNGS
2016-05-23,66.717,66.717,66.717,66.717,344020,USD
2016-05-24,49.04,49.04,49.04,49.04,128133,BZ
2016-05-24,1223.4,1223.4,1223.4,1223.4,197185,GD
2016-05-24,90.18,91.45,89.82,90.88,8752100,GMKN
2016-05-24,1868.43,1887.48,1868.43,1884.12,31030,IMOEX
2016-05-24,2648.0,2682.0,2646.0,2654.5,766209,LKOH
2016-05-24,24.88,25.75,24.86,25.52,21297400,MAGN
2016-05-24,253.25,254.9,252.5,254.7,1201500,MTSS
2016-05-24,648.0,654.5,648.0,651.3,480810,NVTK
2016-05-24,313.1,318.65,312.1,317.0,2430990,ROSN
2016-05-24,121.42,124.07,121.35,123.63,56080800,SBER
2016-05-24,33.305,33.45,33.155,33.25,8624500,SNGS
2016-05-24,66.0614,66.0614,66.0614,66.0614,415194,USD
2016-05-25,49.78,49.78,49.78,49.78,135533,BZ
2016-05-25,1227.4,1227.4,1227.4,1227.4,147855,GD
2016-05-25,91.17,91.94,90.65,90.65,13766500,GMKN
2016-05-25,1884.12,1910.7,1884.12,1898.75,31048,IMOEX
2016-05-25,2667.5,2705.0,2650.5,2653.5,1000802,LKOH
2016-05-25,25.7,26.87,25.385,26.845,32157600,MAGN
2016-05-25,255.1,259.75,255.1,256.05,1631190,MTSS
2016-05-25,654.6,658.1,647.2,657.3,459170,NVTK
2016-05-25,319.55,323.45,317.55,318.0,3724300,ROSN
2016-05-25,124.45,128.55,124.41,127.97,112733610,SBER
2016-05-25,33.46,33.975,33.4,33.52,14803100,SNGS
2016-05-25,64.6346,64.6346,64.6346,64.6346,425300,USD
2016-05-26,49.33,49.33,49.33,49.33,95972,BZ
2016-05-26,1221.3,1221.3,1221.3,1221.3,93792,GD
2016-05-26,91.0,92.3,90.54,91.54,16419700,GMKN
2016-05-26,1898.75,1931.78,1895.63,1914.31,30989,IMOEX
2016-05-26,2678.0,2708.0,2634.0,2682.0,1182703,LKOH
2016-05-26,26.9,27.38,26.11,26.395,33059200,MAGN
2016-05-26,257.9,258.15,254.7,255.15,1433120,MTSS
2016-05-26,657.9,668.8,649.0,654.9,1017360,NVTK
2016-05-26,321.3,327.0,318.55,320.35,5697880,ROSN
2016-05-26,128.55,133.05,126.9,132.43,124290170,SBER
2016-05-26,33.95,33.95,33.255,33.535,17415000,SNGS
2016-05-26,65.4602,65.4602,65.4602,65.4602,409889,USD
2016-05-27,50.03,50.03,50.03,50.03,107284,BZ
2016-05-27,1212.4,1212.4,1212.4,1212.4,17735,GD
2016-05-27,91.7,92.29,91.23,91.42,9146600,GMKN
2016-05-27,1914.31,1930.8,1910.11,1927.58,31070,IMOEX
2016-05-27,2681.0,2715.0,2663.0,2686.5,750539,LKOH
2016-05-27,26.215,26.935,26.185,26.925,14469100,MAGN
2016-05-27,256.05,256.9,254.05,255.95,745090,MTSS
2016-05-27,651.1,661.3,646.9,659.8,798300,NVTK
2016-05-27,321.0,323.35,314.9,321.35,4157720,ROSN
2016-05-27,131.62,134.79,131.35,133.46,86266740,SBER
2016-05-27,33.455,33.73,33.2,33.73,11627500,SNGS
2016-05-27,64.2489,64.2489,64.2489,64.2489,405310,USD
2016-05-30,50.28,50.28,50.28,50.28,34773,BZ
2016-05-30,1210.8,1210.8,1210.8,1210.8,844,GD
2016-05-30,91.9,92.0,91.33,91.92,3687400,GMKN
2016-05-30,1927.58,1938.14,1918.76,1935.54,30890,IMOEX
2016-05-30,2685.0,2711.0,2682.5,2698.5,308265,LKOH
2016-05-30,26.85,27.08,25.91,26.165,12870600,MAGN
2016-05-30,255.2,256.4,254.1,256.1,502560,MTSS
2016-05-30,659.0,673.5,658.7,670.5,380140,NVTK
2016-05-30,320.55,324.6,318.0,322.2,1448280,ROSN
2016-05-30,133.55,135.08,132.55,134.46,37220440,SBER
2016-05-30,33.795,33.8,33.615,33.8,3666400,SNGS
2016-05-30,65.5911,65.5911,65.5911,65.5911,298619,USD
2016-05-31,49.52,49.52,49.52,49.52,149012,BZ
2016-05-31,1218.3,1218.3,1218.3,1218.3,39280,GD
2016-05-31,92.0,92.84,90.11,90.11,18458100,GMKN
2016-05-31,1935.54,1939.84,1899.01,1899.01,31051,IMOEX
2016-05-31,2690.0,2700.5,2523.0,2573.5,5080666,LKOH
2016-05-31,26.33,26.34,25.355,25.81,16039000,MAGN
2016-05-31,255.65,257.8,255.1,256.25,1578180,MTSS
2016-05-31,669.9,671.9,651.5,659.4,911470,NVTK
2016-05-31,322.5,323.15,315.85,316.05,3173330,ROSN
2016-05-31,134.79,135.98,132.7,132.81,90110260,SBER
2016-05-31,33.78,34.38,33.61,34.38,22250100,SNGS
2016-05-31,66.0515,66.0515,66.0515,66.0515,376269,USD
2016-06-01,49.74,49.74,49.74,49.74,171913,BZ
2016-06-01,1217.4,1217.4,1217.4,1217.4,132597,GD
2016-06-01,90.09,91.06,88.89,90.06,14759000,GMKN
2016-06-01,1899.01,1906.86,1888.88,1893.18,31045,IMOEX
2016-06-01,2595.0,2612.0,2556.0,2583.0,2514189,LKOH
2016-06-01,25.69,25.815,24.425,24.5,16644500,MAGN
2016-06-01,256.45,258.0,248.8,252.0,2558570,MTSS
2016-06-01,652.4,659.7,648.3,658.5,784880,NVTK
2016-06-01,316.15,316.65,309.5,312.2,4530770,ROSN
2016-06-01,132.36,133.21,131.31,131.6,62873050,SBER
2016-06-01,33.915,34.13,33.355,33.365,16613800,SNGS
2016-06-01,66.928,66.928,66.928,66.928,442366,USD
2016-06-02,49.95,49.95,49.95,49.95,177493,BZ
2016-06-02,1214.5,1214.5,1214.5,1214.5,102458,GD
2016-06-02,90.28,90.73,88.99,89.69,8312800,GMKN
2016-06-02,1893.18,1898.9,1876.58,1890.78,30967,IMOEX
2016-06-02,2589.0,2607.5,2572.0,2607.0,956492,LKOH
2016-06-02,24.5,25.275,24.175,25.19,15792900,MAGN
2016-06-02,252.1,255.15,247.5,254.55,2236180,MTSS
2016-06-02,657.3,665.0,647.0,661.9,636330,NVTK
2016-06-02,312.8,316.5,309.75,313.0,3747560,ROSN
2016-06-02,131.6,133.08,130.51,132.88,63093140,SBER
2016-06-02,33.49,33.545,32.83,33.1,18736600,SNGS
2016-06-02,66.896,66.896,66.896,66.896,408012,USD
2016-06-03,49.84,49.84,49.84,49.84,142199,BZ
2016-06-03,1246.5,1246.5,1246.5,1246.5,192563,GD
2016-06-03,89.78,91.0,88.29,88.3,14704800,GMKN
2016-06-03,1890.78,1913.74,1877.89,1886.84,30993,IMOEX
2016-06-03,2607.0,2629.0,2565.0,2576.0,1246960,LKOH
2016-06-03,25.06,26.01,25.03,26.01,17307200,MAGN
2016-06-03,255.2,256.25,251.5,253.4,1159390,MTSS
2016-06-03,661.0,665.0,645.1,653.4,958760,NVTK
2016-06-03,313.55,319.0,312.0,314.65,3681130,ROSN
2016-06-03,133.08,134.44,131.04,131.4,67721700,SBER
2016-06-03,33.1,33.31,32.87,33.01,13196700,SNGS
2016-06-03,64.4067,64.4067,64.4067,64.4067,407752,USD
2016-06-06,50.48,50.48,50.48,50.48,142495,BZ
2016-06-06,1243.9,1243.9,1243.9,1243.9,132048,GD
2016-06-06,88.6,90.67,88.59,89.6,12968700,GMKN
2016-06-06,1886.84,1920.91,1886.84,1915.54,31038,IMOEX
2016-06-06,2597.5,2625.0,2560.0,2613.0,988899,LKOH
2016-06-06,25.71,25.805,25.03,25.33,7383200,MAGN
2016-06-06,253.9,272.8,253.85,266.85,13800470,MTSS
2016-06-06,656.5,665.0,651.2,651.3,851560,NVTK
2016-06-06,314.9,324.95,314.9,323.85,3879030,ROSN
2016-06-06,132.1,134.74,132.0,133.92,48317980,SBER
2016-06-06,33.05,34.0,32.935,33.69,20616400,SNGS
2016-06-06,65.254,65.254,65.254,65.254,385773,USD
2016-06-07,51.49,51.49,51.49,51.49,151508,BZ
2016-06-07,1255.0,1255.0,1255.0,1255.0,128938,GD
2016-06-07,89.81,90.48,89.2,89.69,13712900,GMKN
2016-06-07,1915.54,1954.49,1914.56,1951.26,31082,IMOEX
2016-06-07,2622.0,2692.0,2617.0,2678.5,1229507,LKOH
2016-06-07,25.75,26.259999999999998,25.395,25.689999999999998,8982300,MAGN
2016-06-07,268.7,268.7,263.1,264.95,3770810,MTSS
2016-06-07,652.1,679.0,650.1,673.9,982340,NVTK
2016-06-07,324.9,329.9,321.55,329.35,6630170,ROSN
2016-06-07,134.51,139.95,134.02,139.95,100280030,SBER
2016-06-07,33.705,34.095,33.66,34.025,20402500,SNGS
2016-06-07,64.505,64.505,64.505,64.505,399935,USD
2016-06-08,52.7,52.7,52.7,52.7,194655,BZ
2016-06-08,1262.8,1262.8,1262.8,1262.8,150291,GD
2016-06-08,89.83,89.89,87.55,88.74,16979200,GMKN
2016-06-08,1951.26,1960.75,1937.62,1951.55,31060,IMOEX
2016-06-08,2669.5,2690.0,2645.0,2672.0,871425,LKOH
2016-06-08,25.689999999999998,26.07,25.31,25.919999999999998,17240200,MAGN
2016-06-08,265.25,267.4,263.0,263.2,1408500,MTSS
2016-06-08,674.0,682.0,664.7,665.6,987540,NVTK
2016-06-08,327.9,342.95,327.15,342.9,7160230,ROSN
